"filename", "language", "JavaScript", "CSS", "XML", "SCSS", "comment", "blank", "total"
"f:\Antonio\Code\WebDev\bakmazon\src\Components\AddToCart\AddToCart.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"f:\Antonio\Code\WebDev\bakmazon\src\Components\AddToCart\AddToCart.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"f:\Antonio\Code\WebDev\bakmazon\src\Components\App\App.js", "JavaScript", 44, 0, 0, 0, 0, 4, 48
"f:\Antonio\Code\WebDev\bakmazon\src\Components\App\App.scss", "SCSS", 0, 0, 0, 6, 0, 0, 6
"f:\Antonio\Code\WebDev\bakmazon\src\Components\CartDropdown\CartDropdown.js", "JavaScript", 68, 0, 0, 0, 6, 16, 90
"f:\Antonio\Code\WebDev\bakmazon\src\Components\CartDropdown\CartDropdown.scss", "SCSS", 0, 0, 0, 45, 0, 6, 51
"f:\Antonio\Code\WebDev\bakmazon\src\Components\CartDropdown\CartDropdownProduct\CartDropdownProduct.js", "JavaScript", 16, 0, 0, 0, 0, 5, 21
"f:\Antonio\Code\WebDev\bakmazon\src\Components\CartDropdown\CartDropdownProduct\CartDropdownProduct.scss", "SCSS", 0, 0, 0, 47, 0, 6, 53
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Cart\Cart.js", "JavaScript", 94, 0, 0, 0, 7, 22, 123
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Cart\Cart.scss", "SCSS", 0, 0, 0, 177, 0, 30, 207
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Cart\CartProduct\CartProduct.js", "JavaScript", 34, 0, 0, 0, 3, 12, 49
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Cart\CartProduct\CartProduct.scss", "SCSS", 0, 0, 0, 86, 0, 12, 98
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Cart\Discount\Discount.js", "JavaScript", 81, 0, 0, 0, 1, 11, 93
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Cart\Discount\Discount.scss", "SCSS", 0, 0, 0, 79, 0, 13, 92
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Catalog\Catalog.js", "JavaScript", 10, 0, 0, 0, 0, 3, 13
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Catalog\Catalog.scss", "SCSS", 0, 0, 0, 5, 0, 0, 5
"f:\Antonio\Code\WebDev\bakmazon\src\Components\ChatPopup\ChatPopup.js", "JavaScript", 42, 0, 0, 0, 2, 9, 53
"f:\Antonio\Code\WebDev\bakmazon\src\Components\ChatPopup\ChatPopup.scss", "SCSS", 0, 0, 0, 65, 0, 10, 75
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Checkout\Checkout.js", "JavaScript", 99, 0, 0, 0, 6, 16, 121
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Checkout\Checkout.scss", "SCSS", 0, 0, 0, 137, 0, 27, 164
"f:\Antonio\Code\WebDev\bakmazon\src\Components\CustomInput\CustomInput.js", "JavaScript", 47, 0, 0, 0, 0, 18, 65
"f:\Antonio\Code\WebDev\bakmazon\src\Components\CustomInput\CustomInput.scss", "SCSS", 0, 0, 0, 69, 0, 9, 78
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Firebase\Firebase.js", "JavaScript", 14, 0, 0, 0, 0, 3, 17
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Footer\Footer.js", "JavaScript", 22, 0, 0, 0, 0, 7, 29
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Footer\Footer.scss", "SCSS", 0, 0, 0, 82, 0, 11, 93
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Home\Home.js", "JavaScript", 47, 0, 0, 0, 0, 10, 57
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Home\Home.scss", "SCSS", 0, 0, 0, 90, 0, 13, 103
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Navbar\Navbar.js", "JavaScript", 78, 0, 0, 0, 4, 20, 102
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Navbar\Navbar.scss", "SCSS", 0, 0, 0, 249, 0, 38, 287
"f:\Antonio\Code\WebDev\bakmazon\src\Components\ProductList\ProductList.js", "JavaScript", 46, 0, 0, 0, 7, 12, 65
"f:\Antonio\Code\WebDev\bakmazon\src\Components\ProductList\ProductList.scss", "SCSS", 0, 0, 0, 9, 0, 0, 9
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Product\Product.js", "JavaScript", 115, 0, 0, 0, 8, 32, 155
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Product\Product.scss", "SCSS", 0, 0, 0, 123, 0, 18, 141
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Recent\Recent.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Recent\Recent.js", "JavaScript", 62, 0, 0, 0, 0, 7, 69
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Recent\Recent.scss", "SCSS", 0, 0, 0, 4, 0, 0, 4
"f:\Antonio\Code\WebDev\bakmazon\src\Components\SearchBar\SearchBar.js", "JavaScript", 49, 0, 0, 0, 6, 19, 74
