"filename", "language", "CSS", "JavaScript", "XML", "SCSS", "comment", "blank", "total"
"f:\Antonio\Code\WebDev\bakmazon\src\Components\AccountDropdown\AccountDropdown.js", "JavaScript", 0, 23, 0, 0, 1, 6, 30
"f:\Antonio\Code\WebDev\bakmazon\src\Components\AccountDropdown\AccountDropdown.scss", "SCSS", 0, 0, 0, 51, 0, 7, 58
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Account\Account.js", "JavaScript", 0, 102, 0, 0, 6, 14, 122
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Account\Account.scss", "SCSS", 0, 0, 0, 262, 0, 49, 311
"f:\Antonio\Code\WebDev\bakmazon\src\Components\App\App.js", "JavaScript", 0, 50, 0, 0, 0, 5, 55
"f:\Antonio\Code\WebDev\bakmazon\src\Components\App\App.scss", "SCSS", 0, 0, 0, 9, 0, 2, 11
"f:\Antonio\Code\WebDev\bakmazon\src\Components\CartDropdown\CartDropdown.js", "JavaScript", 0, 67, 0, 0, 6, 16, 89
"f:\Antonio\Code\WebDev\bakmazon\src\Components\CartDropdown\CartDropdown.scss", "SCSS", 0, 0, 0, 46, 0, 7, 53
"f:\Antonio\Code\WebDev\bakmazon\src\Components\CartDropdown\CartDropdownProduct\CartDropdownProduct.js", "JavaScript", 0, 16, 0, 0, 0, 5, 21
"f:\Antonio\Code\WebDev\bakmazon\src\Components\CartDropdown\CartDropdownProduct\CartDropdownProduct.scss", "SCSS", 0, 0, 0, 47, 0, 6, 53
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Cart\Cart.js", "JavaScript", 0, 94, 0, 0, 7, 21, 122
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Cart\Cart.scss", "SCSS", 0, 0, 0, 182, 0, 31, 213
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Cart\CartProduct\CartProduct.js", "JavaScript", 0, 34, 0, 0, 3, 12, 49
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Cart\CartProduct\CartProduct.scss", "SCSS", 0, 0, 0, 87, 0, 13, 100
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Cart\Discount\Discount.js", "JavaScript", 0, 80, 0, 0, 1, 11, 92
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Cart\Discount\Discount.scss", "SCSS", 0, 0, 0, 80, 0, 14, 94
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Catalog\Catalog.js", "JavaScript", 0, 11, 0, 0, 0, 3, 14
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Catalog\Catalog.scss", "SCSS", 0, 0, 0, 6, 0, 1, 7
"f:\Antonio\Code\WebDev\bakmazon\src\Components\ChatPopup\ChatPopup.js", "JavaScript", 0, 43, 0, 0, 2, 10, 55
"f:\Antonio\Code\WebDev\bakmazon\src\Components\ChatPopup\ChatPopup.scss", "SCSS", 0, 0, 0, 121, 0, 20, 141
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Checkout\Checkout.js", "JavaScript", 0, 99, 0, 0, 6, 16, 121
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Checkout\Checkout.scss", "SCSS", 0, 0, 0, 144, 0, 29, 173
"f:\Antonio\Code\WebDev\bakmazon\src\Components\CustomInput\CustomInput.js", "JavaScript", 0, 47, 0, 0, 3, 18, 68
"f:\Antonio\Code\WebDev\bakmazon\src\Components\CustomInput\CustomInput.scss", "SCSS", 0, 0, 0, 77, 0, 11, 88
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Firebase\Firebase.js", "JavaScript", 0, 14, 0, 0, 0, 3, 17
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Footer\Footer.js", "JavaScript", 0, 45, 0, 0, 0, 7, 52
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Footer\Footer.scss", "SCSS", 0, 0, 0, 172, 0, 26, 198
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Home\Home.js", "JavaScript", 0, 49, 0, 0, 4, 10, 63
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Home\Home.scss", "SCSS", 0, 0, 0, 102, 0, 17, 119
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Login\Login.js", "JavaScript", 0, 55, 0, 0, 3, 14, 72
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Login\Login.scss", "SCSS", 0, 0, 0, 156, 0, 29, 185
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Navbar\Navbar.js", "JavaScript", 0, 122, 0, 0, 3, 24, 149
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Navbar\Navbar.scss", "SCSS", 0, 0, 0, 275, 0, 47, 322
"f:\Antonio\Code\WebDev\bakmazon\src\Components\PopularCategories\PopularCategories.js", "JavaScript", 0, 29, 0, 0, 1, 7, 37
"f:\Antonio\Code\WebDev\bakmazon\src\Components\PopularCategories\PopularCategories.scss", "SCSS", 0, 0, 0, 31, 0, 6, 37
"f:\Antonio\Code\WebDev\bakmazon\src\Components\ProductCarousel\ProductCarousel.js", "JavaScript", 0, 48, 0, 0, 5, 11, 64
"f:\Antonio\Code\WebDev\bakmazon\src\Components\ProductCarousel\ProductCarousel.scss", "SCSS", 0, 0, 0, 54, 0, 11, 65
"f:\Antonio\Code\WebDev\bakmazon\src\Components\ProductDetails\ProductDetails.js", "JavaScript", 0, 9, 0, 0, 0, 4, 13
"f:\Antonio\Code\WebDev\bakmazon\src\Components\ProductDetails\ProductDetails.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"f:\Antonio\Code\WebDev\bakmazon\src\Components\ProductList\ProductList.js", "JavaScript", 0, 47, 0, 0, 7, 12, 66
"f:\Antonio\Code\WebDev\bakmazon\src\Components\ProductList\ProductList.scss", "SCSS", 0, 0, 0, 10, 0, 1, 11
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Product\Product.js", "JavaScript", 0, 115, 0, 0, 8, 32, 155
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Product\Product.scss", "SCSS", 0, 0, 0, 124, 0, 19, 143
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Recent\Recent.js", "JavaScript", 0, 62, 0, 0, 0, 7, 69
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Recent\Recent.scss", "SCSS", 0, 0, 0, 5, 0, 1, 6
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Register\Register.js", "JavaScript", 0, 76, 0, 0, 9, 22, 107
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Register\Register.scss", "SCSS", 0, 0, 0, 94, 0, 16, 110
"f:\Antonio\Code\WebDev\bakmazon\src\Components\SaleAd\SaleAd.js", "JavaScript", 0, 15, 0, 0, 0, 3, 18
"f:\Antonio\Code\WebDev\bakmazon\src\Components\SaleAd\SaleAd.scss", "SCSS", 0, 0, 0, 46, 0, 6, 52
"f:\Antonio\Code\WebDev\bakmazon\src\Components\SearchBar\SearchBar.js", "JavaScript", 0, 46, 0, 0, 5, 18, 69
"f:\Antonio\Code\WebDev\bakmazon\src\Components\SearchBar\SearchBar.scss", "SCSS", 0, 0, 0, 68, 0, 9, 77
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Search\Search.js", "JavaScript", 0, 24, 0, 0, 3, 8, 35
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Search\Search.scss", "SCSS", 0, 0, 0, 6, 0, 1, 7
"f:\Antonio\Code\WebDev\bakmazon\src\Components\SellProduct\SellProduct.js", "JavaScript", 0, 106, 0, 0, 7, 21, 134
"f:\Antonio\Code\WebDev\bakmazon\src\Components\SellProduct\SellProduct.scss", "SCSS", 0, 0, 0, 85, 0, 13, 98
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Sidebar\Sidebar.js", "JavaScript", 0, 264, 0, 0, 4, 18, 286
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Sidebar\Sidebar.scss", "SCSS", 0, 0, 0, 363, 4, 52, 419
"f:\Antonio\Code\WebDev\bakmazon\src\Components\StoreItems\StoreItems.js", "JavaScript", 0, 51, 0, 0, 3, 12, 66
"f:\Antonio\Code\WebDev\bakmazon\src\Components\StoreItems\StoreItems.scss", "SCSS", 0, 0, 0, 53, 0, 14, 67
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Store\Store.js", "JavaScript", 0, 14, 0, 0, 0, 5, 19
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Store\Store.scss", "SCSS", 0, 0, 0, 7, 0, 1, 8
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Trending\Trending.js", "JavaScript", 0, 27, 0, 0, 0, 6, 33
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Trending\Trending.scss", "SCSS", 0, 0, 0, 7, 0, 2, 9
"f:\Antonio\Code\WebDev\bakmazon\src\imgs\cart.svg", "XML", 0, 0, 5, 0, 0, 1, 6
"f:\Antonio\Code\WebDev\bakmazon\src\imgs\category_imgs\caps.svg", "XML", 0, 0, 20, 0, 0, 1, 21
"f:\Antonio\Code\WebDev\bakmazon\src\imgs\category_imgs\hoodies.svg", "XML", 0, 0, 20, 0, 0, 1, 21
"f:\Antonio\Code\WebDev\bakmazon\src\imgs\category_imgs\jeans.svg", "XML", 0, 0, 20, 0, 0, 1, 21
"f:\Antonio\Code\WebDev\bakmazon\src\imgs\category_imgs\shirts.svg", "XML", 0, 0, 20, 0, 0, 1, 21
"f:\Antonio\Code\WebDev\bakmazon\src\imgs\category_imgs\shoes.svg", "XML", 0, 0, 20, 0, 0, 1, 21
"f:\Antonio\Code\WebDev\bakmazon\src\imgs\category_imgs\watches.svg", "XML", 0, 0, 20, 0, 0, 1, 21
"f:\Antonio\Code\WebDev\bakmazon\src\imgs\dropdown.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"f:\Antonio\Code\WebDev\bakmazon\src\imgs\menu.svg", "XML", 0, 0, 18, 0, 0, 1, 19
"f:\Antonio\Code\WebDev\bakmazon\src\imgs\pfp.svg", "XML", 0, 0, 13, 0, 0, 1, 14
"f:\Antonio\Code\WebDev\bakmazon\src\index.css", "CSS", 12, 0, 0, 0, 0, 2, 14
"f:\Antonio\Code\WebDev\bakmazon\src\index.js", "JavaScript", 0, 13, 0, 0, 3, 3, 19
"f:\Antonio\Code\WebDev\bakmazon\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 2, 14
"f:\Antonio\Code\WebDev\bakmazon\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 4, 1, 6
"Total", "-", 12, 1910, 159, 2770, 108, 861, 5820
