Date : 2021-07-30 13:58:01
Directory : f:\Antonio\Code\WebDev\bakmazon\src
Total : 77 files,  4851 codes, 108 comments, 861 blanks, all 5820 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| SCSS       |         31 |      2,770 |          4 |        462 |      3,236 |
| JavaScript |         35 |      1,910 |        104 |        387 |      2,401 |
| XML        |         10 |        159 |          0 |         10 |        169 |
| CSS        |          1 |         12 |          0 |          2 |         14 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |         77 |      4,851 |        108 |        861 |      5,820 |
| Components                                                                                               |         63 |      4,654 |        101 |        843 |      5,598 |
| Components\Account                                                                                       |          2 |        364 |          6 |         63 |        433 |
| Components\AccountDropdown                                                                               |          2 |         74 |          1 |         13 |         88 |
| Components\App                                                                                           |          2 |         59 |          0 |          7 |         66 |
| Components\Cart                                                                                          |          6 |        557 |         11 |        102 |        670 |
| Components\CartDropdown                                                                                  |          4 |        176 |          6 |         34 |        216 |
| Components\CartDropdown\CartDropdownProduct                                                              |          2 |         63 |          0 |         11 |         74 |
| Components\Cart\CartProduct                                                                              |          2 |        121 |          3 |         25 |        149 |
| Components\Cart\Discount                                                                                 |          2 |        160 |          1 |         25 |        186 |
| Components\Catalog                                                                                       |          2 |         17 |          0 |          4 |         21 |
| Components\ChatPopup                                                                                     |          2 |        164 |          2 |         30 |        196 |
| Components\Checkout                                                                                      |          2 |        243 |          6 |         45 |        294 |
| Components\CustomInput                                                                                   |          2 |        124 |          3 |         29 |        156 |
| Components\Firebase                                                                                      |          1 |         14 |          0 |          3 |         17 |
| Components\Footer                                                                                        |          2 |        217 |          0 |         33 |        250 |
| Components\Home                                                                                          |          2 |        151 |          4 |         27 |        182 |
| Components\Login                                                                                         |          2 |        211 |          3 |         43 |        257 |
| Components\Navbar                                                                                        |          2 |        397 |          3 |         71 |        471 |
| Components\PopularCategories                                                                             |          2 |         60 |          1 |         13 |         74 |
| Components\Product                                                                                       |          2 |        239 |          8 |         51 |        298 |
| Components\ProductCarousel                                                                               |          2 |        102 |          5 |         22 |        129 |
| Components\ProductDetails                                                                                |          2 |          9 |          0 |          5 |         14 |
| Components\ProductList                                                                                   |          2 |         57 |          7 |         13 |         77 |
| Components\Recent                                                                                        |          2 |         67 |          0 |          8 |         75 |
| Components\Register                                                                                      |          2 |        170 |          9 |         38 |        217 |
| Components\SaleAd                                                                                        |          2 |         61 |          0 |          9 |         70 |
| Components\Search                                                                                        |          2 |         30 |          3 |          9 |         42 |
| Components\SearchBar                                                                                     |          2 |        114 |          5 |         27 |        146 |
| Components\SellProduct                                                                                   |          2 |        191 |          7 |         34 |        232 |
